PathA,PathB,Similarity,Notebook similarity
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_1.py,61,86
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_10.py,18,17
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_11.py,86,87
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_12.py,91,86
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_13.py,73,92
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_14.py,91,81
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_15.py,76,86
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_16.py,69,82
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_17.py,92,81
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_18.py,95,93
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_19.py,95,93
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_2.py,73,88
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_20.py,61,88
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_21.py,78,91
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_22.py,96,91
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_23.py,83,86
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_24.py,62,77
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_25.py,28,88
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_26.py,76,93
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_27.py,60,86
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_28.py,77,87
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_29.py,73,89
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_3.py,37,87
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_30.py,79,69
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_31.py,93,84
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_32.py,45,85
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_33.py,61,89
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_34.py,92,87
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_35.py,63,80
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_36.py,84,93
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_37.py,69,85
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_38.py,94,93
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_39.py,73,89
./submissions/task04/auto/submission_0.py,./submissions/task04/auto/submission_4.py,72,51
